Country,ISO,ADM
New Caledonia,NCL,ADM4
New Zealand,NZL,ADM4
Nicaragua,NIC,ADM3
Nicaragua,NIC,ADM4
Niger,NER,ADM4
Nigeria,NGA,ADM3
Nigeria,NGA,ADM4
Niue,NIU,ADM2
Niue,NIU,ADM3
Niue,NIU,ADM4
Norfolk Island,NFK,ADM0
Norfolk Island,NFK,ADM1
Norfolk Island,NFK,ADM2
Norfolk Island,NFK,ADM3
Norfolk Island,NFK,ADM4
North Macedonia,MKD,ADM3
North Macedonia,MKD,ADM4
Northern Mariana Islands,MNP,ADM1
Northern Mariana Islands,MNP,ADM3
Northern Mariana Islands,MNP,ADM4
Norway,NOR,ADM3
Norway,NOR,ADM4
Oman,OMN,ADM3
Oman,OMN,ADM4
Pakistan,PAK,ADM4
Palau,PLW,ADM3
Palau,PLW,ADM4
Panama,PAN,ADM4
Papua New Guinea,PNG,ADM4
Paraguay,PRY,ADM3
Paraguay,PRY,ADM4
Peru,PER,ADM3
Peru,PER,ADM4
Philippines,PHL,ADM4
Pitcairn,PCN,ADM1
Pitcairn,PCN,ADM2
Pitcairn,PCN,ADM3
Pitcairn,PCN,ADM4
Poland,POL,ADM4
Portugal,PRT,ADM4
Puerto Rico,PRI,ADM0
Puerto Rico,PRI,ADM1
Puerto Rico,PRI,ADM4
Qatar,QAT,ADM3
Qatar,QAT,ADM4
Republic of Korea,KOR,ADM4
Republic of Moldova,MDA,ADM2
Republic of Moldova,MDA,ADM3
Republic of Moldova,MDA,ADM4
Réunion,REU,ADM1
Réunion,REU,ADM2
Romania,ROU,ADM3
Romania,ROU,ADM4
Russian Federation,RUS,ADM3
Russian Federation,RUS,ADM4
Saint Barthélemy,BLM,ADM1
Saint Barthélemy,BLM,ADM2
Saint Barthélemy,BLM,ADM3
Saint Barthélemy,BLM,ADM4
Saint Helena,SHN,ADM1
Saint Helena,SHN,ADM2
Saint Helena,SHN,ADM3
Saint Helena,SHN,ADM4
Saint Kitts and Nevis,KNA,ADM2
Saint Kitts and Nevis,KNA,ADM3
Saint Kitts and Nevis,KNA,ADM4
Saint Lucia,LCA,ADM3
Saint Lucia,LCA,ADM4
Saint Martin (French Part),MAF,ADM0
Saint Martin (French Part),MAF,ADM1
Saint Martin (French Part),MAF,ADM2
Saint Martin (French Part),MAF,ADM3
Saint Martin (French Part),MAF,ADM4
Saint Pierre and Miquelon,SPM,ADM0
Saint Pierre and Miquelon,SPM,ADM1
Saint Pierre and Miquelon,SPM,ADM2
Saint Pierre and Miquelon,SPM,ADM3
Saint Pierre and Miquelon,SPM,ADM4
Saint Vincent and the Grenadines,VCT,ADM2
Saint Vincent and the Grenadines,VCT,ADM3
Saint Vincent and the Grenadines,VCT,ADM4
Samoa,WSM,ADM3
Samoa,WSM,ADM4
San Marino,SMR,ADM2
San Marino,SMR,ADM3
San Marino,SMR,ADM4
Sao Tome and Principe,STP,ADM3
Sao Tome and Principe,STP,ADM4
Sark,,ADM0
Sark,,ADM1
Sark,,ADM2
Sark,,ADM3
Sark,,ADM4
Saudi Arabia,SAU,ADM3
Saudi Arabia,SAU,ADM4
Senegal,SEN,ADM4
Serbia,SRB,ADM3
Serbia,SRB,ADM4
Seychelles,SYC,ADM4
Singapore,SGP,ADM3
Singapore,SGP,ADM4
Sint Maarten (Dutch part),SXM,ADM0
Sint Maarten (Dutch part),SXM,ADM1
Sint Maarten (Dutch part),SXM,ADM2
Sint Maarten (Dutch part),SXM,ADM3
Sint Maarten (Dutch part),SXM,ADM4
Slovenia,SVN,ADM3
Slovenia,SVN,ADM4
Somalia,SOM,ADM3
Somalia,SOM,ADM4
South Georgia and the South Sandwich Islands,SGS,ADM0
